x1,y1,z1,x2,y2,z2
-0.215,-9.520,54.442,-1.414,-9.694,54.349
2.053,-9.331,53.762,0.935,-9.537,53.649
1.318,-9.225,53.830,0.192,-9.426,53.755
-1.743,-9.071,54.449,-2.924,-9.262,54.402
-0.525,-9.145,54.701,-1.665,-9.354,54.629
-1.965,-9.162,55.543,-3.161,-9.296,55.567
-1.437,-9.160,55.962,-2.573,-9.352,55.855
-0.627,-8.907,54.230,-1.767,-9.096,54.133
1.251,-9.216,55.303,0.161,-9.404,55.247
1.064,-8.845,54.574,-0.053,-9.109,54.538
0.005,-8.563,53.651,-1.135,-8.799,53.550
0.851,-8.367,53.337,-0.310,-8.583,53.305
0.354,-8.349,52.665,-0.810,-8.595,52.634
1.189,-8.231,52.283,0.016,-8.482,52.241
0.012,-8.482,54.280,-1.165,-8.654,54.180
-2.258,-8.512,55.028,-3.453,-8.684,55.002
-2.240,-8.564,56.056,-3.449,-8.715,56.042
-0.406,-8.338,54.099,-1.588,-8.539,54.058
2.804,-8.221,53.040,1.685,-8.409,52.924
-2.288,-8.593,56.790,-3.467,-8.751,56.720
-1.748,-8.267,54.504,-2.917,-8.437,54.459
0.734,-8.255,54.301,-0.412,-8.416,54.247
0.059,-8.080,53.101,-1.162,-8.300,53.037
-0.329,-8.255,55.154,-1.446,-8.480,55.154
-0.677,-7.987,54.330,-1.801,-8.181,54.238
-1.761,-8.225,55.503,-2.940,-8.411,55.462
-1.703,-8.462,57.338,-2.864,-8.616,57.261
-0.439,-7.939,53.345,-1.590,-8.139,53.325
-1.243,-7.969,54.250,-2.413,-8.166,54.211
0.440,-7.822,52.877,-0.733,-8.029,52.873
-0.916,-8.117,56.096,-2.010,-8.376,55.994
-1.692,-8.088,56.616,-2.801,-8.247,56.658
0.204,-8.103,56.639,-0.891,-8.226,56.601
3.748,-7.876,54.476,2.687,-8.078,54.365
-1.640,-7.539,55.035,-2.796,-7.607,54.906
-1.132,-7.878,56.348,-2.293,-8.038,56.322
1.581,-7.811,54.974,0.532,-8.050,54.736
4.947,-7.790,54.297,3.861,-8.003,54.182
5.280,-7.956,55.338,4.201,-8.178,55.225
4.410,-7.643,54.191,3.322,-7.833,54.069
5.778,-7.976,56.031,4.674,-8.171,55.981
-0.051,-7.491,53.172,-1.245,-7.700,53.207
4.591,-7.876,55.425,3.490,-8.101,55.260
1.033,-8.088,57.814,-0.150,-8.265,57.681
0.507,-7.910,57.264,-0.671,-8.115,57.241
-2.819,-7.472,56.784,-3.980,-7.614,56.799
-2.473,-7.731,57.222,-3.645,-7.914,57.394
-0.931,-7.952,58.638,-2.069,-8.135,58.566
-2.049,-7.672,56.483,-3.192,-7.808,56.383
1.720,-7.178,52.623,0.582,-7.300,52.623
5.322,-7.406,53.638,4.208,-7.553,53.537
0.393,-7.135,53.806,-0.755,-7.299,53.757
-0.747,-7.190,55.671,-1.881,-7.377,55.615
3.923,-7.288,53.958,2.859,-7.495,53.815
2.631,-7.525,56.534,1.565,-7.718,56.424
4.356,-7.063,53.240,3.291,-7.273,53.124
1.022,-7.164,54.393,-0.172,-7.312,54.338
-1.460,-7.583,58.707,-2.589,-7.772,58.680
-2.113,-7.334,58.649,-3.263,-7.544,58.581
5.776,-7.117,55.271,4.660,-7.304,55.235
3.150,-6.607,52.587,2.017,-6.799,52.532
-1.813,-7.093,58.114,-2.967,-7.288,58.050
-2.216,-6.784,56.974,-3.361,-6.935,56.962
-1.225,-6.938,59.332,-2.340,-7.143,59.257
3.820,-7.253,57.913,2.814,-7.480,57.824
4.096,-7.007,55.962,3.032,-7.190,55.782
5.392,-6.666,52.933,4.284,-6.799,52.813
-2.670,-6.948,57.951,-3.836,-7.135,57.927
0.941,-6.677,54.769,-0.182,-6.906,54.670
-1.413,-6.754,56.121,-2.565,-6.940,56.037
-0.124,-7.119,59.608,-1.225,-7.381,59.560
-1.981,-6.747,56.211,-3.142,-6.950,56.173
-1.248,-6.629,55.459,-2.400,-6.874,55.398
5.620,-6.853,57.281,4.554,-7.054,57.168
-3.173,-6.804,59.095,-4.354,-6.949,59.218
1.314,-6.758,57.544,0.219,-6.989,57.463
3.992,-6.305,52.895,2.945,-6.527,52.752
-2.295,-6.679,58.296,-3.465,-6.905,58.157
4.167,-6.575,56.529,3.106,-6.784,56.443
-2.900,-6.612,58.751,-4.053,-6.815,58.686
0.489,-6.375,55.241,-0.672,-6.589,55.128
4.616,-6.660,56.725,3.611,-6.940,56.478
7.185,-6.492,55.235,6.086,-6.636,55.050
4.704,-6.249,55.765,3.656,-6.464,55.746
3.162,-6.001,52.592,2.047,-6.278,52.562
-1.565,-6.206,55.571,-2.678,-6.483,55.449
3.864,-6.425,57.593,2.765,-6.668,57.484
5.689,-5.875,54.164,4.589,-6.010,54.087
5.177,-5.948,53.569,4.072,-6.088,53.453
5.913,-6.000,54.926,4.846,-6.176,54.813
1.838,-6.178,56.041,0.737,-6.422,56.066
-2.491,-6.243,58.513,-3.678,-6.386,58.446
4.935,-5.955,55.344,3.929,-6.201,55.156
-2.220,-5.988,57.948,-3.337,-6.211,57.841
-1.488,-5.985,59.832,-2.626,-6.222,59.723
-2.748,-6.102,60.432,-3.924,-6.302,60.382
-1.044,-5.809,57.045,-2.162,-6.069,56.932
5.873,-5.753,55.235,4.780,-5.930,55.115
1.723,-5.559,54.251,0.600,-5.784,54.202
1.030,-5.606,55.176,-0.103,-5.811,55.083
-2.106,-6.140,61.410,-3.282,-6.325,61.232
-2.808,-5.876,60.069,-3.976,-6.088,60.001
6.155,-5.417,53.222,5.055,-5.621,53.132
0.900,-5.811,59.124,-0.184,-6.011,59.058
-3.563,-5.719,59.120,-4.772,-5.886,59.054
1.015,-5.896,60.455,-0.075,-6.125,60.390
0.804,-5.425,55.555,-0.325,-5.665,55.493
5.452,-5.385,54.318,4.367,-5.539,54.219
1.305,-5.377,56.047,0.221,-5.580,55.952
4.637,-5.355,55.003,3.532,-5.511,54.896
5.712,-5.296,53.895,4.594,-5.418,53.783
6.349,-5.612,57.295,5.304,-5.813,57.229
-1.704,-5.423,57.722,-2.829,-5.606,57.579
