latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.5249,-5.7303,301.1,1,1,2000-11-01,1131,Terra,MODIS,45,6.2,269.8,7.8,D,2
41.5184,-2.0833,312.4,1.1,1.1,2000-11-01,1132,Terra,MODIS,55,6.2,280.1,15.8,D,0
41.3399,-2.672,309.7,1.1,1,2000-11-01,1132,Terra,MODIS,0,6.2,274,12.6,D,0
40.2732,-3.1756,319.2,1.1,1,2000-11-01,1132,Terra,MODIS,79,6.2,288.3,19.9,D,0
40.2479,-3.4714,304.2,1.1,1,2000-11-01,1132,Terra,MODIS,58,6.2,285.4,6.1,D,0
39.2529,-4.3232,302.9,1,1,2000-11-01,1132,Terra,MODIS,54,6.2,290.1,3.8,D,0
38.2484,-4.8281,302.6,1,1,2000-11-01,1133,Terra,MODIS,52,6.2,287.9,4.4,D,0
37.8853,-5.7761,315.6,1,1,2000-11-01,1133,Terra,MODIS,76,6.2,292.3,12.8,D,0
37.66,-5.3871,306.1,1,1,2000-11-01,1133,Terra,MODIS,63,6.2,292.2,5.6,D,0
37.6343,-5.5217,306.6,1,1,2000-11-01,1133,Terra,MODIS,64,6.2,293.8,5.2,D,0
36.962,-5.9026,306.1,1,1,2000-11-01,1133,Terra,MODIS,59,6.2,295.3,4.1,D,0
42.4422,-2.7349,304.9,1,1,2000-11-03,1119,Terra,MODIS,60,6.2,284.4,8.1,D,0
42.4405,-2.7227,300.9,1,1,2000-11-03,1119,Terra,MODIS,43,6.2,283.7,5.8,D,0
42.0895,-5.7551,308.9,1.3,1.1,2000-11-03,1119,Terra,MODIS,68,6.2,283.9,14.7,D,0
39.7854,3.0861,323.8,1.5,1.2,2000-11-03,1120,Terra,MODIS,45,6.2,290.2,37.4,D,0
39.7748,3.0826,353.3,1.5,1.2,2000-11-03,1120,Terra,MODIS,97,6.2,285.3,123.8,D,0
39.7833,3.0789,339.6,1.5,1.2,2000-11-03,1120,Terra,MODIS,90,6.2,290.4,75.1,D,0
39.7801,3.096,324.6,1.5,1.2,2000-11-03,1120,Terra,MODIS,61,6.2,286.6,38.1,D,0
37.4305,-1.5942,306.1,1,1,2000-11-03,1120,Terra,MODIS,56,6.2,292.9,4.6,D,0
